"","Estimate","Std. Error","t value","Pr(>|t|)","var"
"(Intercept)",0.00175644231159335,0.0149862485872759,0.117203601779612,0.906703220080184,"Change in Average Years of Study 
 1991-2000"
"dist_ec29_baseline",-0.144882235775199,0.217660978495763,-0.665632566647766,0.505675384528715,"Change in Average Years of Study 
 1991-2000"
"(Intercept)1",0.00192523160871709,0.00406136459649637,0.474035650573686,0.635494303815114,"% Change in Average Years of Study 
 1991-2000"
"dist_ec29_baseline1",-0.125424454178566,0.0585505704890799,-2.14215597099875,0.0322270474417504,"% Change in Average Years of Study 
 1991-2000"
"(Intercept)2",-0.0227108229515253,0.0516379244796995,-0.439808981099804,0.660093663108403,"Change in Illiteracy Rates 
 1991-2000"
"dist_ec29_baseline2",2.02393983095712,0.780731673031075,2.59236290888452,0.00955848195623974,"Change in Illiteracy Rates 
 1991-2000"
"(Intercept)3",-0.000655691760704197,0.00113439255035612,-0.578011342280371,0.56328138487748,"% Change in Illiteracy Rates 
 1991-2000"
"dist_ec29_baseline3",0.0255214656372651,0.0155875878909353,1.63729409680549,0.101629287267231,"% Change in Illiteracy Rates 
 1991-2000"
"(Intercept)4",0.000339720745528495,0.00109139920074801,0.311270839575161,0.755607158489208,"Change in Gini Coefficient 
 1991-2000"
"dist_ec29_baseline4",-0.0200506332400226,0.015109609615344,-1.32701199769324,0.1845627327536,"Change in Gini Coefficient 
 1991-2000"
"(Intercept)5",0.000547430775478185,0.00220298656488469,0.248494831609125,0.803761340019221,"% Change in Gini Coefficient 
 1991-2000"
"dist_ec29_baseline5",-0.0336582535389676,0.0311373463757493,-1.08096088641586,0.279764430459731,"% Change in Gini Coefficient 
 1991-2000"
"(Intercept)6",-0.000186313060860825,0.00121414896028396,-0.153451567274951,0.878048110812874,"Change in the Share of Pop in Extreme Poverty 
 1991-2000"
"dist_ec29_baseline6",-0.0111428728122201,0.0173603666339037,-0.64185699802323,0.520994210363099,"Change in the Share of Pop in Extreme Poverty 
 1991-2000"
"(Intercept)7",0.00432166235251739,0.0157637179413687,0.274152479040244,0.783978289356427,"% Change in the Share of Pop in Extreme Poverty 
 1991-2000"
"dist_ec29_baseline7",-0.456156851435741,0.337893915829399,-1.35000019256355,0.177074432303789,"% Change in the Share of Pop in Extreme Poverty 
 1991-2000"
"(Intercept)8",0.000295423596728714,0.00122623416549619,0.240919397812711,0.809627063833919,"Change in the Share of Pop in Poverty 
 1991-2000"
"dist_ec29_baseline8",-0.0421750083735213,0.0167372880215584,-2.51982330226964,0.0117710200000925,"Change in the Share of Pop in Poverty 
 1991-2000"
"(Intercept)9",0.000764474807366045,0.00273586976264695,0.279426607875668,0.779928519967571,"% Change in the Share of Pop in Poverty 
 1991-2000"
"dist_ec29_baseline9",-0.108722909503665,0.0367701245579295,-2.95682733770394,0.00312213923541262,"% Change in the Share of Pop in Poverty 
 1991-2000"
"(Intercept)10",-0.087531720459829,0.987498636355078,-0.088639839324654,0.929371544506041,"Change in Income Per Capita 
 1991-2000"
"dist_ec29_baseline10",37.7116609291201,13.2970042017068,2.83610205404609,0.00458435984364945,"Change in Income Per Capita 
 1991-2000"
"(Intercept)11",0.00152031292563477,0.00506324953392364,0.300264270099413,0.763987537019302,"% Change in Income Per Capita 
 1991-2000"
"dist_ec29_baseline11",0.0728966739321899,0.0719175522359723,1.01361450252096,0.310813695812352,"% Change in Income Per Capita 
 1991-2000"
"(Intercept)12",0.0445303240069132,0.16449543202884,0.270708575050923,0.786625879867614,"Change in the Share of Pop with Access to Water 
 1991-2000"
"dist_ec29_baseline12",-2.28239261002584,2.32886120602708,-0.980046644307968,0.327108495760551,"Change in the Share of Pop with Access to Water 
 1991-2000"
"(Intercept)13",0.0448472429334102,0.132041913460122,0.339643994533255,0.734138301770837,"% Change in the Share of Pop with Access to Water 
 1991-2000"
"dist_ec29_baseline13",-0.466908955558154,1.94439437118728,-0.240130789554308,0.810238291324543,"% Change in the Share of Pop with Access to Water 
 1991-2000"
"(Intercept)14",0.124659764709763,0.327892032084655,0.380185404070991,0.703823255331956,"Change in the Share of Pop with Access to Garbage Collection 
 1991-2000"
"dist_ec29_baseline14",-3.53288398468568,4.64960693054605,-0.759824225457867,0.447393960414091,"Change in the Share of Pop with Access to Garbage Collection 
 1991-2000"
"(Intercept)15",-0.129073158536597,0.182601031462769,-0.706858868773226,0.479685726074225,"% Change in the Share of Pop with Access to Garbage Collection 
 1991-2000"
"dist_ec29_baseline15",4.31092047219743,4.56155828991736,0.94505434288236,0.344674856991931,"% Change in the Share of Pop with Access to Garbage Collection 
 1991-2000"
"(Intercept)16",0.0338196035690509,0.155164521745646,0.217959641731051,0.827469072925372,"Change in the Share of Pop with Access to Eletricity 
 1991-2000"
"dist_ec29_baseline16",-5.89614067620921,2.36847824702697,-2.48942150243952,0.0128260054048705,"Change in the Share of Pop with Access to Eletricity 
 1991-2000"
"(Intercept)17",0.0362666883312983,0.0418982660781295,0.865589240940667,0.386755221878354,"% Change in the Share of Pop with Access to Eletricity 
 1991-2000"
"dist_ec29_baseline17",-1.30184449596405,1.07096591533541,-1.21557976525922,0.224199997397287,"% Change in the Share of Pop with Access to Eletricity 
 1991-2000"
"(Intercept)18",-0.229610995032524,0.232349703316128,-0.988212989969355,0.323094132938218,"Change in the Share of Pop with Access to Adequate Water and Sewage 
 1991-2000"
"dist_ec29_baseline18",11.5918821853173,3.65366885283948,3.17266907653893,0.00151920379133426,"Change in the Share of Pop with Access to Adequate Water and Sewage 
 1991-2000"
"(Intercept)19",0.0168121015627485,0.2601136434422,0.0646336783425372,0.94846814329538,"% Change in the Share of Pop with Access to Adequate Water and Sewage 
 1991-2000"
"dist_ec29_baseline19",0.30317612155916,2.98631146174757,0.101521936155227,0.919140042679955,"% Change in the Share of Pop with Access to Adequate Water and Sewage 
 1991-2000"
"(Intercept)20",0.000247084526763059,0.00039381558205342,0.627411758251716,0.530418034849163,"Change in HDI 
 1991-2000"
"dist_ec29_baseline20",-0.0117743171600951,0.00572754789264565,-2.05573438769734,0.0398599788209401,"Change in HDI 
 1991-2000"
"(Intercept)21",0.000560202552477434,0.00179473530098201,0.31213658759089,0.754949794814626,"% Change in HDI 
 1991-2000"
"dist_ec29_baseline21",-0.0585862310112249,0.025986670540182,-2.25447238116309,0.0242097565502027,"% Change in HDI 
 1991-2000"
"(Intercept)22",1.75039532965269,1.64815285275043,1.0620345841902,0.288282904957745,"Change in Healh and Sanitation Spending per capita (FINBRA) 
 1998-2000"
"dist_ec29_baseline22",-161.954271413585,26.6429694559501,-6.0786869752394,0.00000000132277409891437,"Change in Healh and Sanitation Spending per capita (FINBRA) 
 1998-2000"
"(Intercept)23",-0.0309719279725218,0.370102254034627,-0.0836847861229833,0.933311163127107,"% Change in Healh and Sanitation Spending per capita (FINBRA) 
 1998-2000"
"dist_ec29_baseline23",2.36227284594138,1.49809298406395,1.57685328685882,0.114906889970759,"% Change in Healh and Sanitation Spending per capita (FINBRA) 
 1998-2000"
